,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
87,Tue Dec 26 14:44:19 +0000 2023,1739658404434678012,@Yurissa_Samosir @Badruzz76394141 @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @RidNgemil @choymarkochoy Mantap. Alhamdulilah dukungan terus mengalir dari rakyat Indonesia. Semoga perubahan Indonesia akan terwujud ditangan pak Anies&amp Muhaimin  #AminkanIndonesia  #AminkanIndonesia,0,0,0,0,in,1603561074371874817,1739645462062489634,migdodo74,https://twitter.com/migdodo74/status/1739658404434678012
88,Mon Dec 25 09:18:48 +0000 2023,1739214097533846000,Anies Muhaimin kena batunya . . . GANTENG BANGET SBS Gayo Daejeon McDonald Giselle HYUNJIN POTONG RAMBUT doyoung Hujan Bandung Home Alone Matthew Pukis Jogja https://t.co/kolz53Bmte,0,0,1,4,in,1640639725118820354,1739214097533846000,mayangnatasyaa,https://twitter.com/mayangnatasyaa/status/1739214097533846000
89,Tue Dec 26 14:44:00 +0000 2023,1739658326382870640,@Heraloebss Semoga Prabowo sukses jadi presiden RI di survey. Aamiin...  Bismillah... AMIN..Anies-Muhaimin presiden RI 2024 - 2029. Aamiin... #presidenRI,0,0,0,0,in,1451573640135208960,1739558812036849674,ado_ono,https://twitter.com/ado_ono/status/1739658326382870640
90,Mon Dec 25 09:18:37 +0000 2023,1739214049563619705,Anies Muhaimin kena batunya . . . GANTENG BANGET SBS Gayo Daejeon McDonald Giselle HYUNJIN POTONG RAMBUT doyoung Hujan Bandung Home Alone Matthew Pukis Jogja https://t.co/QMaNOH0I5N,0,0,1,4,in,1623240680817696770,1739214049563619705,DewantiEvelin,https://twitter.com/DewantiEvelin/status/1739214049563619705
91,Tue Dec 26 14:43:25 +0000 2023,1739658178487574687,"@Fahrihamzah Kembalilah ke jalan yang benar, bersama Anis-Muhaimin AMIN",0,0,0,1,in,928867203604033537,1739652725628121301,MyhamadAmin,https://twitter.com/MyhamadAmin/status/1739658178487574687
92,Mon Dec 25 09:18:27 +0000 2023,1739214008958533874,Anies Muhaimin kena batunya . . . GANTENG BANGET SBS Gayo Daejeon McDonald Giselle HYUNJIN POTONG RAMBUT doyoung Hujan Bandung Home Alone Matthew Pukis Jogja https://t.co/n8CVDyNphM,0,0,1,4,in,1605139775757123585,1739214008958533874,AnwarAriesta,https://twitter.com/AnwarAriesta/status/1739214008958533874
93,Tue Dec 26 14:39:34 +0000 2023,1739657210744254659,@VIVAcoid Banyak masy ga berani terang2an dukung Anies Muhaimin. Gpp yg penting di bilik suara nanti kompak coblos 01,0,0,0,1,in,14978889,1739496141442712027,deenalovemuse,https://twitter.com/deenalovemuse/status/1739657210744254659
94,Mon Dec 25 09:13:53 +0000 2023,1739212861723770943,"ANIS BASWEDAN + GUS MUHAIMIN INDONESIA MAJU INDONESIA KELAS, PAKAI HATI PAKAI OTAK AMIN MENANG Dapatkan frame ini melalui https://t.co/IwxnEBo6Em #RajaFrame #amin-anies-baswedan-muhaimin-iskandar-capres-cawapres-2024-4 https://t.co/0XFBSYj1yh",0,0,0,0,in,1559237879997820928,1739212861723770943,Dybot5,https://twitter.com/Dybot5/status/1739212861723770943
95,Tue Dec 26 14:38:54 +0000 2023,1739657042066067772,Tim Nasional Anies Rasyid Baswedan-Abdul Muhaimin Iskandar (Timnas Amin) menanggapi candaan Ketua Umum PBNU Yahya Cholil Staquf alias Gus Yahya soal calon wakil presiden (cawapres) Cak Imin yang tidak akan menang pada Pilpres 2024.  https://t.co/pH7SxzJUVx,0,0,0,0,in,1698580133068865536,1739657042066067772,heralddotID,https://twitter.com/heralddotID/status/1739657042066067772
96,Tue Dec 26 14:35:04 +0000 2023,1739656075748741254,@tempodotco Banyak rakyat yg terkena dampaknya .. tapi pemerintah tutup mata dan telinga ... maka dr itu saya dukung Pak Muhaimin dan para pemimpin negeri untuk mengevaluasi IKN,0,0,0,0,in,1701830941810073600,1739221198196924652,zerrin1720,https://twitter.com/zerrin1720/status/1739656075748741254
