,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
163,Mon Dec 25 11:18:46 +0000 2023,1739244288490570027,@aniesbaswedan Sesuai wangsit eyang prabu Siliwangi tetap prabowo gibran yg akan memimpin Indonesia https://t.co/RZz3OJM40o,0,0,0,0,in,1705430482174005248,1739233651370365283,GrahaWalan6302,https://twitter.com/GrahaWalan6302/status/1739244288490570027
164,Mon Dec 25 11:18:38 +0000 2023,1739244255988863372,"Gibran bikin Solo hebat, sedangkan Muhaimin, bikin kekecewaan terus menerus @AH_SiregarXIX  https://t.co/9I7AMMYTw4",0,0,0,0,in,1678739672133156865,1739244255988863372,PujiAst69,https://twitter.com/PujiAst69/status/1739244255988863372
165,Mon Dec 25 11:18:38 +0000 2023,1739244254218834109,Buruh yakin Prabowo - Gibran menang di putaran pertama. dekade08,0,0,0,0,in,1681894438795370496,1739244254218834109,daffarudal21,https://twitter.com/daffarudal21/status/1739244254218834109
166,Mon Dec 25 11:18:24 +0000 2023,1739244193741242857,Duh! Mahfud MD Ternyata juga Pernah Langgar Etika saat Jadi Ketua MK https://t.co/8M0oWQUC15  #asalbukanmerah #2024gantiwarna  #karawangbergerak #Gibran #GibranRakabuming #Pemilu2024 #DulurGibran #MasGibran #Gibran2024,0,0,0,0,in,1722388932758028288,1739244193741242857,sakitanwar50892,https://twitter.com/sakitanwar50892/status/1739244193741242857
167,Mon Dec 25 11:18:23 +0000 2023,1739244190704570722,"@kurawa Hus kuwalat lo om @kurawa pak mahfud sedang sakit Kita doakan sama2 biar cepat sembuh sebelum debat ke 2 cawapres berlangsung Bilang aja ke mas @gibran_tweet agar di debat ke 2 ngalah kasian tu orang tua kebanting harga dirinya Asal lo tau om SAKITNYA TU DISINI""""",0,0,0,0,in,1118819834496573442,1739185244971131032,Topan28280238,https://twitter.com/Topan28280238/status/1739244190704570722
168,Mon Dec 25 11:18:22 +0000 2023,1739244186002665498,"Solo bersinar, Jakarta dan Jateng nampaknya perlu kursus sama Gibran @investorgabut  https://t.co/9oZfFwHqzC",0,0,0,0,in,1676489669255774208,1739244186002665498,iinkartimah34,https://twitter.com/iinkartimah34/status/1739244186002665498
169,Mon Dec 25 11:18:21 +0000 2023,1739244183330963540,"Surabaya dan Madura meriah, Airlangga yakinkan Prabowo - Gibran! dekade08",0,0,0,0,in,1668144622793822215,1739244183330963540,rafifknzoo,https://twitter.com/rafifknzoo/status/1739244183330963540
170,Mon Dec 25 11:18:18 +0000 2023,1739244171502956840,Prabowo : 1 program 450 Triliun Ganjar      : 21 program 506 Triliun  Melihat dari sini saja pasangan Ganjar-Mahfud sudah kalah telak dari pasangan Prabowo-Gibran bagaimana tata kelola menghamburkan duit rakyat Payah.... https://t.co/1DHFbYQWv9,1,5,19,44,in,55200751,1739244171502956840,WagimanDeep212_,https://twitter.com/WagimanDeep212_/status/1739244171502956840
171,Mon Dec 25 11:18:17 +0000 2023,1739244164884418810,"Gibran membuktikan Solo bisa lebih berkembang, tapi Muhaimin, apa buktinya? @UtomoSetyok4ila  https://t.co/8dzpgAOpmW",0,0,0,0,in,1675091114205024256,1739244164884418810,jamiluddin_remi,https://twitter.com/jamiluddin_remi/status/1739244164884418810
172,Mon Dec 25 11:18:16 +0000 2023,1739244162019627456,"Gibran bikin Solo eksis, Cak Imin kayaknya masih sibuk nyari nomor urut di pemilu politik @Jawhariaria  https://t.co/zzyCTHBIFh",0,0,0,0,in,1676486432498802688,1739244162019627456,wenisolihat20,https://twitter.com/wenisolihat20/status/1739244162019627456
